"Identifier","fullStatement","humanCodingScheme","IsRelatedTo","","","","","","","","","","","",""
"d44349ca-7a83-4c63-9d23-044dfc4d5ffa","Use intensive pronouns (e.g., myself, ourselves).","OLO.5-6.GU.28","CCSS.ELA-Literacy.L.6.1b","","","","","","","","","","","",""
"300a93ef-1d10-40e3-9179-bf48b186c4a4","Distinguish between pronouns of the same form that are used differently as either reflective or intensive pronouns.","OLO.5-6.GU.29","CCSS.ELA-Literacy.L.6.1b","","","","","","","","","","","",""
"54df6978-3b22-44af-9d41-e375e16371e3","Recognize coordinating and subordinating conjunctions.","OLO.5-6.GU.3","CCSS.ELA-Literacy.L.5.1a","","","","","","","","","","","",""
"61423a83-865f-4fe9-a323-fa5a47cd13f9","Recognize and correct inappropriate shifts in pronoun number and person.","OLO.5-6.GU.30","CCSS.ELA-Literacy.L.6.1c","","","","","","","","","","","",""
"e5b41c13-fd2d-4770-b184-629268dc8492","Recognize inappropriate shifts in verb tense.","OLO.5-6.GU.31","CCSS.ELA-Literacy.L.5.1d","","","","","","","","","","","",""
"9c9e7ae8-7a7f-45ec-89f5-e0f0db670c8e","Correct inappropriate shifts in verb tense.","OLO.5-6.GU.32","CCSS.ELA-Literacy.L.5.1d","","","","","","","","","","","",""
"8060568c-7bd7-423f-a11b-30e7073c621f","Recognize correlative conjunctions.","OLO.5-6.GU.33","CCSS.ELA-Literacy.L.5.1e","","","","","","","","","","","",""
"57052894-75be-4ba5-b211-367890ab3c7c","Use correlative conjunctions to show the relationship between ideas in a sentence.","OLO.5-6.GU.34","CCSS.ELA-Literacy.L.5.1e","","","","","","","","","","","",""
"99918edf-1a99-44dc-af65-68cd444e1b91","Recognize lack of agreement between pronouns and antecedents.","OLO.5-6.GU.35","CCSS.ELA-Literacy.L.6.1d","","","","","","","","","","","",""
"7327e91a-f3cd-41a2-aae2-c424680f3b44","Correct agreement between pronouns and antecedents.","OLO.5-6.GU.36","CCSS.ELA-Literacy.L.6.1d","","","","","","","","","","","",""
"d3f7012e-ea3c-4eb5-b02a-29c8528c8d44","Recognize the differences between formal and informal English.","OLO.5-6.GU.37","CCSS.ELA-Literacy.L.6.1e","","","","","","","","","","","",""
"68073539-b804-4a1e-ab1f-132d49c3cd83","Recognize variations from standard English in writing.","OLO.5-6.GU.38","CCSS.ELA-Literacy.L.6.1e","","","","","","","","","","","",""
"7cbebce6-f999-4b75-ba20-14739e110c84","Adopt the conventions of standard English when needed in formal and academic writing.","OLO.5-6.GU.39","CCSS.ELA-Literacy.L.6.1e","","","","","","","","","","","",""
"e66ba3a0-0518-4e58-b596-fa815dd3448c","Use different forms of conjunctions correctly in sentences.","OLO.5-6.GU.4","CCSS.ELA-Literacy.L.5.1a","","","","","","","","","","","",""
"14b3087c-06b6-4e28-b77c-d873652fd254","Use knowledge of language and its conventions when writing, speaking, reading, or listening.","OLO.5-6.GU.40","CCSS.ELA-Literacy.L.5.3,CCSS.ELA-Literacy.L.6.3","","","","","","","","","","","",""
"51b7ad22-1cf7-444b-b464-9b236786f839","Recognize a variety of sentence patterns (e.g. simple, compound, complex, and compound-complex).","OLO.5-6.GU.41","CCSS.ELA-Literacy.L.5.3a","","","","","","","","","","","",""
"2efcb7d9-3676-4eb0-b9cf-09a15692bfc7","Expand, combine, and shorten sentences as needed to vary their patterns.","OLO.5-6.GU.42","CCSS.ELA-Literacy.L.5.3a,CCSS.ELA-Literacy.L.6.3a","","","","","","","","","","","",""
"457db080-fe56-47ae-b1fc-25c38b856bbb","Clarify meaning by using a variety of sentence patterns.","OLO.5-6.GU.43","CCSS.ELA-Literacy.L.5.3a,CCSS.ELA-Literacy.L.6.3a","","","","","","","","","","","",""
"5cb01b1a-20cf-49f4-928c-f1238de333a2","Increase reader and listener interest by using a variety of sentence patterns.","OLO.5-6.GU.44","CCSS.ELA-Literacy.L.5.3a,CCSS.ELA-Literacy.L.6.3a","","","","","","","","","","","",""
"8c725239-8f51-4dea-96ca-4ba151e78cb1","Enhance writing style by using a variety of sentence patterns.","OLO.5-6.GU.45","CCSS.ELA-Literacy.L.5.3a,CCSS.ELA-Literacy.L.6.3a","","","","","","","","","","","",""
"a97ce31c-86bf-4080-9354-04e354cd930d","Recognize variations of language from standard English.","OLO.5-6.GU.46","CCSS.ELA-Literacy.L.5.3b","","","","","","","","","","","",""
"ae353a59-cb11-4870-a43c-08ae9726e621","Compare and contrast the variations of language from standard English in literary texts.","OLO.5-6.GU.47","CCSS.ELA-Literacy.L.5.3b","","","","","","","","","","","",""
"edb1c040-4e36-40ee-a464-8da052a35156","Maintain a consistent style and tone in writing.","OLO.5-6.GU.48","CCSS.ELA-Literacy.L.6.3b","","","","","","","","","","","",""
"677b82f2-2f00-43d8-a710-b62e63e77642","Recognize prepositons and prepositional phrases.","OLO.5-6.GU.5","CCSS.ELA-Literacy.L.5.1a","","","","","","","","","","","",""
"19a3136a-1ea6-4dc8-b1bc-4b9050a3ead2","Recognize interjections in sentences.","OLO.5-6.GU.6","CCSS.ELA-Literacy.L.5.1a","","","","","","","","","","","",""
"588d3235-555c-479b-b3d1-501dd199c326","Explain and correctly use prepositions in prepositional phrases.","OLO.5-6.GU.7","CCSS.ELA-Literacy.L.5.1a","","","","","","","","","","","",""
"325b4c55-d661-4b79-b3bf-2ffd583b39fe","Explain and correctly use prepositional phrases in sentences.","OLO.5-6.GU.8","CCSS.ELA-Literacy.L.5.1a","","","","","","","","","","","",""
"43d71bf1-7b97-4018-9205-657ab073151c","Explain and correctly use interjections in sentences.","OLO.5-6.GU.9","CCSS.ELA-Literacy.L.5.1a","","","","","","","","","","","",""
"06ebfcf6-eec2-4a70-9641-1fabec3deff0","Grammar & Usage: Observe the conventions of standard English grammar and usage.","OLO.7-8.GU","CCSS.ELA-Literacy.L.7.1","","","","","","","","","","","",""
"dbef17eb-8b0d-4c2d-a7a2-e625d632e4c7","Observe the conventions of standard English grammar when writing and speaking.","OLO.7-8.GU.1","CCSS.ELA-Literacy.L.7.1,CCSS.ELA-Literacy.L.8.1","","","","","","","","","","","",""
"6dd3db03-082d-497c-b859-bf86fba71e64","Identify noun phrases as complements in a sentence.","OLO.7-8.GU.10","CCSS.ELA-Literacy.L.7.1a","","","","","","","","","","","",""
"6469cf87-d377-4f7c-ac5a-e5c4d32a7a9f","Identify verb phrases as predicates of a sentence.","OLO.7-8.GU.11","CCSS.ELA-Literacy.L.7.1a","","","","","","","","","","","",""
"f84e1bec-4beb-429c-9a90-5f87f1b2ed76","Explain the components of verb phrases (e.g. verb forms, modifiers).","OLO.7-8.GU.12","CCSS.ELA-Literacy.L.7.1a","","","","","","","","","","","",""
"36089fe2-e365-42ad-907e-329d5a1ac92e","Recognize that an independent clause has both a subject and predicate.","OLO.7-8.GU.13","CCSS.ELA-Literacy.L.7.1a","","","","","","","","","","","",""
"4d7dd083-8a0f-4d99-8efa-ffc7bc1979b0","Identify a sentence as an example of an independent clause.","OLO.7-8.GU.14","CCSS.ELA-Literacy.L.7.1a","","","","","","","","","","","",""
"f83426bb-1886-4833-a464-0c902cbb33e5","Recognize that when a clause begins with a subordinating conjunction or relative pronoun, it is a dependent clause.","OLO.7-8.GU.15","CCSS.ELA-Literacy.L.7.1b","","","","","","","","","","","",""
"8e1a60e4-9c19-40bc-bb81-7bae7be00ed9","Vary sentence structure (e.g.simple, compound, complex, compound-complex) to express different relationships among ideas.","OLO.7-8.GU.16","CCSS.ELA-Literacy.L.7.1b","","","","","","","","","","","",""
"add8f0c0-2a1a-4fe0-b5d4-2627dbd5b2e3","Combine simple sentences with varied sentence structure to clarify ideas and develop style.","OLO.7-8.GU.17","CCSS.ELA-Literacy.L.7.1c","","","","","","","","","","","",""
"adc009d3-d831-48ae-9e92-af3535f81ac8","Recognize and correct words, phrases, and clauses that are misplaced or dangling modifiers.","OLO.7-8.GU.18","CCSS.ELA-Literacy.L.7.1c","","","","","","","","","","","",""
"dc420b9a-48d4-4bfd-ac21-ae43656716b9","Identify and form past and present participles of regular and irregular verbs.","OLO.7-8.GU.19","CCSS.ELA-Literacy.L.8.1a","","","","","","","","","","","",""
"8fdac9b5-6f8b-48a9-8f62-f214dadf4e6e","Observe the conventions of standard English usage when writing and speaking.","OLO.7-8.GU.2","CCSS.ELA-Literacy.L.7.1,CCSS.ELA-Literacy.L.8.1","","","","","","","","","","","",""
"0af85b22-aeb8-4ffb-b52b-21380ccd7a74","Use participles correctly in their function as adjectives.","OLO.7-8.GU.20","CCSS.ELA-Literacy.L.8.1a","","","","","","","","","","","",""
"5d39e8d8-3d67-4920-843a-7e927b303b33","Identify and form gerunds.","OLO.7-8.GU.21","CCSS.ELA-Literacy.L.8.1a","","","","","","","","","","","",""
"d347cc98-2cd6-4d98-aeed-05ee22d9d400","Use gerunds correctly in their function as nouns.","OLO.7-8.GU.22","CCSS.ELA-Literacy.L.8.1a","","","","","","","","","","","",""
"6b07eb77-5f15-4841-a2b6-3dbc5346c428","Identify and form infinitives.","OLO.7-8.GU.23","CCSS.ELA-Literacy.L.8.1a","","","","","","","","","","","",""
"9f4473ed-540b-49e1-922b-b13f7c31f4cc","Use infinitives correctly in their function as nouns or as modifiers.","OLO.7-8.GU.24","CCSS.ELA-Literacy.L.8.1a","","","","","","","","","","","",""
"6c8f958b-c141-4295-81e7-5c12f5a25864","Form verbs in the active voice.","OLO.7-8.GU.25","CCSS.ELA-Literacy.L.8.1b","","","","","","","","","","","",""
"afa1ecab-ecc1-4dd4-86fa-64cd461728d5","Form verbs in the passive voice.","OLO.7-8.GU.26","CCSS.ELA-Literacy.L.8.1b","","","","","","","","","","","",""
"79595a1c-1600-451f-b1e9-f8b9b1b3641a","Determine when to use the active or passive voice in a sentence.","OLO.7-8.GU.27","CCSS.ELA-Literacy.L.8.1b","","","","","","","","","","","",""
"74405b10-51da-4877-8a41-87cd3189a7e8","Identify the mood of a verb (e.g. indicative, imperative, interrogative, conditional, subjunctive).","OLO.7-8.GU.28","CCSS.ELA-Literacy.L.8.1c","","","","","","","","","","","",""
"76a41259-5aa3-4cfe-9eb4-a295b4ea5f92","Form and use verbs in the indicative mood.","OLO.7-8.GU.29","CCSS.ELA-Literacy.L.8.1c","","","","","","","","","","","",""
"76c0d859-6164-42a2-bf03-64a3cc53e829","Identify noun phrases as subjects of a sentence.","OLO.7-8.GU.3","CCSS.ELA-Literacy.L.7.1a","","","","","","","","","","","",""
"7240912c-dc3e-46a6-98cb-3a22f8d0f87f","Form and use verbs in the imperative mood.","OLO.7-8.GU.30","CCSS.ELA-Literacy.L.8.1c","","","","","","","","","","","",""
"f0741893-094f-45d4-9b28-0a6f464e96ec","Form and use verbs in the interrogative mood.","OLO.7-8.GU.31","CCSS.ELA-Literacy.L.8.1c","","","","","","","","","","","",""
"f50f5ce7-f870-43be-be54-5c47c2145d3c","Form and use verbs in the conditional mood.","OLO.7-8.GU.32","CCSS.ELA-Literacy.L.8.1c","","","","","","","","","","","",""
"20a604b5-e487-4fef-8020-8d212109762d","Form and use verbs in the subjunctive mood.","OLO.7-8.GU.33","CCSS.ELA-Literacy.L.8.1c","","","","","","","","","","","",""
"d07af4a6-e11a-46eb-b099-e3f9fee73f59","Correct shifts or misuse in the voice of a verb.","OLO.7-8.GU.34","CCSS.ELA-Literacy.L.8.1d","","","","","","","","","","","",""
"8424c4fa-9f86-4802-ad4a-b0a6494bb024","Use a knowledge of language when writing, reading, speaking, and listening.","OLO.7-8.GU.35","CCSS.ELA-Literacy.L.7.3,CCSS.ELA-Literacy.L.8.3","","","","","","","","","","","",""
"b7442579-cb5d-4853-ada9-a86f9b5d785b","Recognize and correct wordiness.","OLO.7-8.GU.36","CCSS.ELA-Literacy.L.7.3a","","","","","","","","","","","",""
"d3dc57fa-da89-4abb-819b-713edb3c9e6f","Recognize and correct redundancy.","OLO.7-8.GU.37","CCSS.ELA-Literacy.L.7.3a","","","","","","","","","","","",""
"c81b47fb-0257-47cc-879f-851170fae068","Express ideas concisely without wordiness.","OLO.7-8.GU.38","CCSS.ELA-Literacy.L.7.3a","","","","","","","","","","","",""
"4be8f5e3-4134-4a2e-babe-813c3e5fe33c","Express ideas concisely by avoiding repeated words and phrases.","OLO.7-8.GU.39","CCSS.ELA-Literacy.L.7.3a","","","","","","","","","","","",""
"41f02de9-5364-423f-ba18-dee0e6876559","Recognize appositive phrases as noun phrases that further identify the subject of a sentence.","OLO.7-8.GU.4","CCSS.ELA-Literacy.L.7.1a","","","","","","","","","","","",""
"cbd9ad7a-b639-4bd0-b1e8-b88aa4fa46c3","Use the active voice to emphasize the direct action of the actor.","OLO.7-8.GU.40","CCSS.ELA-Literacy.L.8.3a","","","","","","","","","","","",""
"2b827654-2fe6-40d9-903f-07f17e267d16","Use the passive voice to emphasize the action apart from the actor.","OLO.7-8.GU.41","CCSS.ELA-Literacy.L.8.3a","","","","","","","","","","","",""
"ca44fd64-f4eb-4cf7-bffa-8edba51b0407","Use the conditional mood to indicate uncertainty or causality.","OLO.7-8.GU.42","CCSS.ELA-Literacy.L.8.3a","","","","","","","","","","","",""
"67c16f55-560c-46ae-acd7-0075d517825c","Use the subjunctive mood to indicate what is hypothetical or imaginary.","OLO.7-8.GU.43","CCSS.ELA-Literacy.L.8.3a","","","","","","","","","","","",""
"bb74cdcd-7909-4cd7-af62-c0babcee2283","Explain the components of noun phrases (e.g. articles, modifiers, nouns or pronouns).","OLO.7-8.GU.5","CCSS.ELA-Literacy.L.7.1a","","","","","","","","","","","",""
"bdfcb44a-cdcc-4327-9809-fe761ed03957","Identify prepositional phrases as modifiers for either nouns or verbs.","OLO.7-8.GU.6","CCSS.ELA-Literacy.L.7.1a","","","","","","","","","","","",""
"2ad1c0f9-f3fa-4817-8283-6e94dee2da73","Explain the components of prepositional phrases (e.g. prepositions, articles, nouns).","OLO.7-8.GU.7","CCSS.ELA-Literacy.L.7.1a","","","","","","","","","","","",""
"151d3830-6f6d-449d-b6de-057d03508ce1","Identify noun phrases as objects in the predicate of sentences.","OLO.7-8.GU.8","CCSS.ELA-Literacy.L.7.1a","","","","","","","","","","","",""
"c4c56910-c559-424d-98a8-969b4ec873c2","Identify noun phrases as objects in prepositional phrases.","OLO.7-8.GU.9","CCSS.ELA-Literacy.L.7.1a","","","","","","","","","","","",""
"164c940a-6658-4def-bbbc-182dabf349a0","Grammar & Usage: Identify and use standard English in writing.","OLO.9-10.GU","CCSS.ELA-Literacy.L.9-10.1","","","","","","","","","","","",""
"1afb3bb5-f40d-4864-ad14-25cb9bb51cfe","Demonstrate a command of standard English grammar and usage in writing.","OLO.9-10.GU.1","CCSS.ELA-Literacy.L.9-10.1","","","","","","","","","","","",""
"5a618971-7b41-49a7-99da-95bc7a21352d","Use noun phrases as complements of sentences with linking verbs in the predicate.","OLO.9-10.GU.10","CCSS.ELA-Literacy.L.9-10.1b","","","","","","","","","","","",""
"eae018fc-2d86-4c8c-b2c5-9d6dc3efd787","Identify participles that function as adjectives in a sentence.","OLO.9-10.GU.11","CCSS.ELA-Literacy.L.9-10.1b","","","","","","","","","","","",""
"659f50ee-e22b-4ba7-b96a-6d4bdd507221","Use participles correctly as adjectives in a sentence.","OLO.9-10.GU.12","CCSS.ELA-Literacy.L.9-10.1b","","","","","","","","","","","",""
"92967917-2123-42d8-8745-30b24338215c","Correct the use of participles as adjectives in a sentence.","OLO.9-10.GU.13","CCSS.ELA-Literacy.L.9-10.1b","","","","","","","","","","","",""
"97a6d82a-5e69-4055-9a29-41241d6d6e50","Distinguish essential and nonessential appositive phrases.","OLO.9-10.GU.14","CCSS.ELA-Literacy.L.9-10.1b","","","","","","","","","","","",""
"1971110e-84a8-4b9a-ab48-d03b9b8f8056","Use verb phrases as predicates of sentences.","OLO.9-10.GU.15","CCSS.ELA-Literacy.L.9-10.1b","","","","","","","","","","","",""
"64021a6e-f324-4afa-b400-57c9f76fd5f9","Distinguish among verbal phrases.","OLO.9-10.GU.16","CCSS.ELA-Literacy.L.9-10.1b","","","","","","","","","","","",""
"604d096e-c2fb-4b4e-9b83-c39c14b48020","Use gerund phrases as nouns in a sentence.","OLO.9-10.GU.17","CCSS.ELA-Literacy.L.9-10.1b","","","","","","","","","","","",""
"3d754aa2-4eb2-4def-a345-868af0cf2894","Use infinitive phrases as nouns or modifiers in a sentence.","OLO.9-10.GU.18","CCSS.ELA-Literacy.L.9-10.1b","","","","","","","","","","","",""
"e0e7fe91-4613-4e92-b93f-eb7860493ce8","Identify the relative clause that functions as an adjective in a sentence.","OLO.9-10.GU.19","CCSS.ELA-Literacy.L.9-10.1b","","","","","","","","","","","",""
"bb74c617-61a4-4fd8-a659-c39766c46058","Demonstrate a command of standard English grammar and usage in speaking.","OLO.9-10.GU.2","CCSS.ELA-Literacy.L.9-10.1","","","","","","","","","","","",""
"974899a7-ff5e-41ea-9806-69a53d5119ee","Use a relative clause, a dependent clause that starts with a relative pronoun, as an adjective.","OLO.9-10.GU.20","CCSS.ELA-Literacy.L.9-10.1b","","","","","","","","","","","",""
"492bfbd0-26c7-4b76-83a8-cfdca6a72185","Distinguish essential and nonessential relative clauses.","OLO.9-10.GU.21","CCSS.ELA-Literacy.L.9-10.1b","","","","","","","","","","","",""
"f19d9f0e-ee40-4dd2-b460-8114ccd4f499","Identify the subordinate clause that functions as an adverb in a sentence.","OLO.9-10.GU.22","CCSS.ELA-Literacy.L.9-10.1b","","","","","","","","","","","",""
"c8829cd8-2ea0-481e-9d1b-1fae52ad4a95","Use a subordinate clause, a dependent clause starting with a subordinating conjunction, as an adverb.","OLO.9-10.GU.23","CCSS.ELA-Literacy.L.9-10.1b","","","","","","","","","","","",""
"dbbc848f-6908-4012-a6c9-52b29b292850","Choose subordinating conjunctions for a subordinate clause to show relationships of time correctly.","OLO.9-10.GU.24","CCSS.ELA-Literacy.L.9-10.1b","","","","","","","","","","","",""
"14287526-2da9-4033-a57d-a17a3e8d68e0","Choose subordinating conjunctions for a subordinate clause to show relationships of place correctly.","OLO.9-10.GU.25","CCSS.ELA-Literacy.L.9-10.1b","","","","","","","","","","","",""
"1a65d6d2-14ce-4765-a862-6f9552dbd435","Choose subordinating conjunctions for a subordinate clause to show cause/effect relationships correctly.","OLO.9-10.GU.26","CCSS.ELA-Literacy.L.9-10.1b","","","","","","","","","","","",""
"de739dd5-173d-4bf2-a081-9f2acf9f438d","Place subordinate clauses correctly to establish the relationship among ideas in a sentence.","OLO.9-10.GU.27","CCSS.ELA-Literacy.L.9-10.1b","","","","","","","","","","","",""
"5c1d1561-63e4-4e95-bf4a-79ca27037b34","Use main clauses in all of the sentence types.","OLO.9-10.GU.28","CCSS.ELA-Literacy.L.9-10.1b","","","","","","","","","","","",""
"d52e7a35-63d9-41c0-8e00-be5bc132cff6","Identify an absolute phrase in a sentence.","OLO.9-10.GU.29","CCSS.ELA-Literacy.L.9-10.1b","","","","","","","","","","","",""
"3942b5ba-d115-4035-b960-4440cc5f1f42","Recognize use of parallel structure in a sentence.","OLO.9-10.GU.3","CCSS.ELA-Literacy.L.9-10.1a","","","","","","","","","","","",""
"f783f4cd-d6a6-4cba-9ae7-17d13817b7cf","Use absolute phrases as the modifiers of clauses.","OLO.9-10.GU.30","CCSS.ELA-Literacy.L.9-10.1b","","","","","","","","","","","",""
"2a022d4e-3a9c-4297-a09a-c28274a28531","Understand language in different contexts.","OLO.9-10.GU.31","CCSS.ELA-Literacy.L.9-10.3","","","","","","","","","","","",""
"45eef57a-52a3-46a2-941c-0fc1e0768cd6","Apply knowledge of language to choices of style and meaning in writing.","OLO.9-10.GU.32","CCSS.ELA-Literacy.L.9-10.3","","","","","","","","","","","",""
"0ed19871-a5a2-4834-a55c-4791a750f287","Apply knowledge of language to reading and listening comprehension.","OLO.9-10.GU.33","CCSS.ELA-Literacy.L.9-10.3","","","","","","","","","","","",""
"7b9cd61e-bb24-4db9-8edc-664b2da793b4","Use parallel structure to clarify meaning and signify the ideas that have the same level of importance.","OLO.9-10.GU.4","CCSS.ELA-Literacy.L.9-10.1a","","","","","","","","","","","",""
"c482fdb4-251e-40ce-ac55-5ec06061a3ac","Write sentences with parallel structure by correcting and using the same parts of speech in a list of items or actions.","OLO.9-10.GU.5","CCSS.ELA-Literacy.L.9-10.1a","","","","","","","","","","","",""
"ce480f49-6ca9-4e6b-8cd8-1e97ef34e41e","Write sentences with parallel structure by using verbs in the same form of tenses, moods, and voices.","OLO.9-10.GU.6","CCSS.ELA-Literacy.L.9-10.1a","","","","","","","","","","","",""
"d0ed47bc-fee5-4c17-8b7a-7c82762da109","Write sentences with parallel structure by using the same type of phrases as modifiers.","OLO.9-10.GU.7","CCSS.ELA-Literacy.L.9-10.1a","","","","","","","","","","","",""
"f148bf10-f4d8-44c5-a0aa-c8ec5e929a26","Use noun phrases as subjects of sentences and dependent clauses.","OLO.9-10.GU.8","CCSS.ELA-Literacy.L.9-10.1b","","","","","","","","","","","",""
"e002793f-022d-4d2e-8956-d7aa6e0d7a7b","Use noun phrases as objects of the predicate and of a preposition.","OLO.9-10.GU.9","CCSS.ELA-Literacy.L.9-10.1b","","","","","","","","","","","",""
"23e18f60-08dc-489a-8038-2d3861ba8543","Grammar& Usage: Know and use standard English.","OLO.K.GU","CCSS.ELA-Literacy.L.K.1","","","","","","","","","","","",""
"5b64bbff-1662-4bce-b5f3-301b3376bfb4","Demonstrate command of the conventions of standard English grammar when writing.","OLO.K.GU.1","CCSS.ELA-Literacy.L.K.1","","","","","","","","","","","",""
"ce5232c9-d789-441c-baab-e36172873bda","Identify regular plural nouns.","OLO.K.GU.10","CCSS.ELA-Literacy.L.K.1b","","","","","","","","","","","",""
"1d9c7714-554c-4797-80a3-f2a63708d3c8","Form regular plural nouns orally by adding /s/ or /es/ .","OLO.K.GU.11","CCSS.ELA-Literacy.L.K.1c","","","","","","","","","","","",""
"e4b766a6-13bb-4830-8b20-6de698d97a23","Identify the question words who, what,where, when, why, and how.","OLO.K.GU.12","CCSS.ELA-Literacy.L.K.1c","","","","","","","","","","","",""
"5770fa23-6f6f-48c5-8a2b-09394474bc90","Use the question words who, what,where, when, why, and how.","OLO.K.GU.13","CCSS.ELA-Literacy.L.K.1d","","","","","","","","","","","",""
"84f84cd1-544a-400f-af6b-e9805594846a","Identify frequently occurring prepositions of place and location.","OLO.K.GU.14","CCSS.ELA-Literacy.L.K.1e","","","","","","","","","","","",""
"70b344ca-9bde-4215-84da-bfe842c92dae","Use the most frequently occurring prepositions of place and direction (e.g., to, from, in, out, on, off).","OLO.K.GU.15","CCSS.ELA-Literacy.L.K.1e","","","","","","","","","","","",""
"d348a3d0-78aa-4cb3-b3c0-278a9bda5a2b","Recognize complete sentences in shared language activities.","OLO.K.GU.16","CCSS.ELA-Literacy.L.K.1f","","","","","","","","","","","",""
"070d71fb-6922-4234-9205-d10c19f9caed","Produce complete sentences in shared language activities.","OLO.K.GU.17","CCSS.ELA-Literacy.L.K.1f","","","","","","","","","","","",""
"38b8fe58-538c-4441-b5ca-56e9f2c19179","Expand complete sentences in shared language activities.","OLO.K.GU.18","CCSS.ELA-Literacy.L.K.1f","","","","","","","","","","","",""
"fe99ac05-925d-4729-97a0-eca8588070f6","Demonstrate command of the conventions of standard English grammar when speaking.","OLO.K.GU.2","CCSS.ELA-Literacy.L.K.1","","","","","","","","","","","",""
"d71a8250-a3a9-4e7c-89db-e88785624694","Demonstrate command of the conventions of standard English usage when writing.","OLO.K.GU.3","CCSS.ELA-Literacy.L.K.1","","","","","","","","","","","",""
"e17e5c07-fc3b-46d3-be12-26caf4b96601","Demonstrate command of the conventions of standard English usage when speaking.","OLO.K.GU.4","CCSS.ELA-Literacy.L.K.1","","","","","","","","","","","",""
"3b2b300d-9f5b-4204-87cb-40ea6dc9739a","Recognize that nouns are words and name people, places, and things.","OLO.K.GU.5","CCSS.ELA-Literacy.L.K.1b","","","","","","","","","","","",""
"74c3f9ff-8dd4-4065-9cbb-1c26cc72c572","Use frequently occurring nouns.","OLO.K.GU.6","CCSS.ELA-Literacy.L.K.1b","","","","","","","","","","","",""
"0d1c15c6-7370-4a70-b992-4902eec87d02","Recognize that verbs are words that name actions and states of being.","OLO.K.GU.7","CCSS.ELA-Literacy.L.K.1b","","","","","","","","","","","",""
"41a46acf-a633-4d38-8a76-7271ab1e6743","Distinguish between nouns and verbs.","OLO.K.GU.8","CCSS.ELA-Literacy.L.K.1b","","","","","","","","","","","",""
"4604b72c-5285-4540-ba76-b18f825d692a","Use frequently occurring verbs.","OLO.K.GU.9","CCSS.ELA-Literacy.L.K.1b","","","","","","","","","","","",""
"34abb976-9a63-4023-a3a5-9e17d6586823","History & Social Studies Text: Analyze domain-specific texts.","OLO.11-12.HST","CCSS.ELA-Literacy.RH.11-12.1","","","","","","","","","","","",""
"556fa433-a559-443c-9d7d-1ff0bf0c8fdb","Cite specific textual evidence to support analysis of primary and secondary sources.","OLO.11-12.HST.1","CCSS.ELA-Literacy.RH.11-12.1","","","","","","","","","","","",""
"59460e21-6894-45da-8cd1-cf54fc6f827e","Determine which parts of the text do not lend themselves to a clear explanation for either the actions or the events.","OLO.11-12.HST.10","CCSS.ELA-Literacy.RH.11-12.3","","","","","","","","","","","",""
"36109144-71dd-42f2-84a3-d84c7d929886","Analyze in detail the structure of a primary source text.","OLO.11-12.HST.11","CCSS.ELA-Literacy.RH.11-12.5","","","","","","","","","","","",""
"e9940408-cf8d-4359-8628-1612ee1a0b05","Compare and contrast the differing points of view of various authors writing on the same historical event or issue.","OLO.11-12.HST.12","CCSS.ELA-Literacy.RH.11-12.6","","","","","","","","","","","",""
"5bd8742b-740a-4651-9fe8-422d7cc194f9","Assess the claims, reasoning, and evidence of authors with different points of view on the same event or issue.","OLO.11-12.HST.13","CCSS.ELA-Literacy.RH.11-12.6","","","","","","","","","","","",""
"0bdd9e48-309d-44e1-9eb2-c54f95e89f43","Compare and contrast an author's claims, reasoning, and evidence with other arguments that support them.","OLO.11-12.HST.14","CCSS.ELA-Literacy.RH.11-12.8","","","","","","","","","","","",""
"7f3de64e-77f7-488c-b3b0-160aff800a34","Compare and contrast an author's claims, reasoning, and evidence with other arguments that challenge them.","OLO.11-12.HST.15","CCSS.ELA-Literacy.RH.11-12.8","","","","","","","","","","","",""
"23daaace-be87-469f-b5d5-53b007156c62","Integrate information from diverse sources, both primary and secondary.","OLO.11-12.HST.16","CCSS.ELA-Literacy.RH.11-12.9","","","","","","","","","","","",""
"95c7daea-cc6f-4b4e-98d6-d738bf1f8f09","Construct a coherent understanding of an idea or event from diverse sources.","OLO.11-12.HST.17","CCSS.ELA-Literacy.RH.11-12.9","","","","","","","","","","","",""
"55ca25f8-a650-4124-8f1b-e6dba76e2a17","Note discrepancies among primary and secondary sources that give information about an idea or event.","OLO.11-12.HST.18","CCSS.ELA-Literacy.RH.11-12.9","","","","","","","","","","","",""
"b44ff068-5607-4f33-8fe3-c277ea4a201b","By the end of grade 12, read and comprehend history/social studies texts in the grades 11-CCR text-complexity band independently and proficiently.","OLO.11-12.HST.19","CCSS.ELA-Literacy.RH.11-12.10","","","","","","","","","","","",""
"a0302b4c-2b8a-4400-b589-e0019750cded","Connect insights gained from specific details to an understanding of the text as a whole.","OLO.11-12.HST.2","CCSS.ELA-Literacy.RH.11-12.1","","","","","","","","","","","",""
"de11ced5-8c54-4f50-8170-3b99a3df93da","Determine the central ideas of primary and secondary sources.","OLO.11-12.HST.3","CCSS.ELA-Literacy.RH.11-12.2","","","","","","","","","","","",""
"48e770e7-fc7d-4c67-a759-19dd42d5fefb","Determine the key details of information in primary and secondary sources.","OLO.11-12.HST.4","CCSS.ELA-Literacy.RH.11-12.2","","","","","","","","","","","",""
